player_id,player_name,career_is_capped,cap_prob_model,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope,career_matches_played,career_age_years
57435,Gaurav Choudhary,False,0.4245080597205943,opener,78.0,,165.95744680851064,,,165.95744680851064,,,4.0,36.1
57437,Soumya Biswal,False,0.3920474660229585,finisher,6.0,,60.0,,,60.0,,,3.0,
57438,Biki Nag,False,0.4137072872188585,finishing allrounder,7.0,,100.0,3.0,6.0,100.0,,,3.0,
57441,Asutosh Marndi,False,0.4061372844063411,finishing allrounder,11.0,,50.0,2.0,6.285714285714286,50.0,,,3.0,
57442,Prasanta Rana,False,0.40870028751733206,finishing allrounder,0.0,,0.0,12.0,7.014084507042254,0.0,,0.0,8.0,
57443,Sujal Singh,False,0.42296866814094786,finisher,216.0,,113.08900523560209,,,113.08900523560209,31.999999999999993,,9.0,
57444,Subham Biswal,False,0.3945275685070974,opener,14.0,,100.0,,,100.0,,,1.0,
57445,Liladhar Pradhan,False,0.41100782739050923,finisher,36.0,,124.13793103448276,,,124.13793103448276,,,4.0,
57447,Hemanta Nayak,False,0.3926856074644931,finisher,11.0,,68.75,,,68.75,,,1.0,
57448,S Mohanty,False,0.406749913022945,top/middle,37.0,,78.72340425531915,,,78.72340425531915,,,3.0,
57450,Aryashree Bhatta,False,0.402276820282726,finisher,57.0,,90.47619047619048,,,90.47619047619048,16.999999999999996,,9.0,
57452,Swayam Routray,False,0.4046937475330294,finishing allrounder,4.0,,57.142857142857146,2.0,7.297297297297297,57.142857142857146,,0.0,6.0,
57455,Soubhagya Mishra,False,0.3970014533397101,opener,41.0,,75.92592592592592,,,75.92592592592592,,,3.0,
57456,Gurudipan Jena,False,0.3972761158837178,finisher,17.0,,77.27272727272727,,,77.27272727272727,,,2.0,
57457,Subhasis Mirdha,False,0.3977319480657416,finisher,8.0,,72.72727272727273,,,72.72727272727273,,,2.0,
57458,Venkatesh Vande,False,0.3953484389053894,opener,11.0,,91.66666666666667,,,91.66666666666667,,,2.0,
57459,Sambit Baral,False,0.43937836465225233,finishing allrounder,153.0,,131.89655172413794,7.0,9.19047619047619,131.89655172413794,-12.999999999999993,-0.9999999999999998,8.0,
57461,Nitish Samantaray,False,0.39493147124519234,opener,21.0,,100.0,,,100.0,,,1.0,
57463,Raghvendra Tripathy,False,0.3984161919122133,top/middle,22.0,,73.33333333333333,,,73.33333333333333,,,2.0,
57465,Vimal Kumar,False,0.4121648436583071,finishing allrounder,5.0,,125.0,14.0,7.341614906832298,125.0,,7.999999999999998,9.0,
57466,Girija Barik,False,0.4014999285797922,top/middle,43.0,,95.55555555555556,,,95.55555555555556,,,2.0,
57468,Ayaskant Sahu,False,0.40510136397270124,finishing allrounder,0.0,,0.0,2.0,6.9,0.0,,,3.0,
57470,Sambit Beja,False,0.4036951398096905,finishing allrounder,41.0,,80.3921568627451,2.0,7.591836734693878,80.3921568627451,28.99999999999999,,6.0,
57471,Sarthak Panda,False,0.3858273625074805,top/middle,1.0,,8.333333333333334,,,0.6783277711746619,,,2.0,
57472,Sk Ajharudin,False,0.40034859695584385,finishing allrounder,1.0,,100.0,0.0,7.666666666666667,100.0,,,4.0,
5750,Ehsan Khan,True,0.5684667308780149,finishing allrounder,40.0,,133.33333333333334,10.0,6.817120622568093,1.100691846243697,8.428571428571427,0.5000000000000001,11.0,40.91
5769,Codanda Karthik,False,0.6038969121719666,batting allrounder,552.0,,132.37410071942446,49.0,8.06832298136646,4.555410796744522,9.799999999999995,-2.499999999999999,36.0,32.13
5785,Pranav Bhatia,False,0.5351669488147356,finishing allrounder,169.0,,131.0077519379845,17.0,7.707446808510638,23.18732462267375,-4.500000000000006,-4.999999999999998,23.0,28.75
5787,Prithviraj Shekhawat,False,0.44121573561910554,finishing allrounder,166.0,,102.46913580246914,19.0,7.073047858942066,102.46913580246914,-43.99999999999999,4.999999999999998,21.0,
5792,Kushal Wadhwani,False,0.4790658719507465,finishing allrounder,3.0,,33.333333333333336,16.0,8.305970149253731,33.333333333333336,,-1.3571428571428574,13.0,29.07
5795,Vinay Sagar,False,0.46367003910785265,top/middle,99.0,,99.0,,,3.88570048057055,-8.999999999999996,,11.0,28.24
5799,Srinivas Sharath,False,0.48465256993245476,finisher,245.0,,94.96124031007751,,,6.24362246212115,-8.699999999999998,,23.0,29.9
57992,Madhav Prakash Bajaj,False,0.42404021810682,finishing allrounder,47.0,,111.9047619047619,11.0,7.065989847715736,111.9047619047619,40.999999999999986,0.9999999999999998,11.0,25.56
57994,Dheeraj Mohan,False,0.39446479579787386,opener,40.0,,97.5609756097561,,,97.5609756097561,,,4.0,25.69
57995,Aadithya Vishwa Karma,False,0.39458189277685307,opener,1.0,,6.25,,,6.25,,,1.0,19.06
57996,Wahid Faizan Khan,False,0.4020455452460823,finisher,56.0,,98.24561403508773,,,98.24561403508773,,,7.0,22.38
57997,Abhishek Prabhakar,False,0.42021261325869935,finishing allrounder,0.0,,0.0,15.0,7.2,0.0,,,8.0,27.06
57999,Suchith Jagadeesh,False,0.4141678050462184,finishing allrounder,20.0,,166.66666666666666,3.0,10.333333333333334,1.200060610667823,,,2.0,31.86
58000,Harshil Dharmani,False,0.43379866168490283,finisher,247.0,,126.66666666666667,,,126.66666666666667,102.99999999999997,,19.0,20.64
58001,Samit Dravid,False,0.4228905311355252,top/middle,68.0,,121.42857142857143,,,121.42857142857143,,,5.0,20.04
58006,Niranjan Naik,False,0.39580231582424796,finisher,45.0,,88.23529411764706,,,88.23529411764706,,,5.0,23.02
58009,Shikhar Shetty,False,0.4079778010075539,finishing allrounder,9.0,,60.0,5.0,7.457142857142857,60.0,,4.999999999999998,11.0,20.25
58010,Dhruv Prabhakar,False,0.4361926950778355,batting allrounder,203.0,,109.72972972972973,6.0,7.544117647058823,109.72972972972973,56.99999999999997,3.999999999999999,15.0,20.68
58013,Karthikeya P,False,0.457433161685966,top/middle,308.0,,126.74897119341564,1.0,7.333333333333333,126.74897119341564,21.999999999999996,,19.0,20.1
58014,Samarth Nagaraj,False,0.4250479399015473,finishing allrounder,15.0,,100.0,2.0,9.6,100.0,8.999999999999996,0.0,7.0,20.1
58036,Biswajit K Mohapatra,False,0.4233782085612217,finishing allrounder,20.0,,111.11111111111111,6.0,6.909090909090909,111.11111111111111,,,3.0,
58037,Manav Bhattacharya,False,0.39953125923616895,top/middle,28.0,,54.90196078431372,,,54.90196078431372,,,3.0,
5805,Shivkumar Rakshith,False,0.5289791018669743,finisher,494.0,,124.74747474747475,,,8.321922900016048,-10.799999999999995,,43.0,30.99
5808,Karim Janat,True,0.6839371088884688,finishing allrounder,548.0,,126.55889145496536,26.0,8.340659340659341,2.4938158222797195,-35.4,-2.7999999999999994,45.0,27.29
58085,Faizan Riaz,False,0.38956647089899377,finisher,13.0,,185.71428571428572,,,185.71428571428572,,,1.0,23.78
5809,Naveen ul Haq,True,0.6451132482437646,finishing allrounder,26.0,,57.77777777777778,39.0,8.866187050359713,1.8812166249016677,3.9999999999999982,6.499999999999999,31.0,26.18
5810,Jeswanth Acharya,False,0.48618883850543976,top/middle,372.0,,132.38434163701066,,,17.930647088336723,-193.99999999999994,,18.0,
5811,Sachin Shinde,False,0.3963652397932127,finishing allrounder,10.0,,90.9090909090909,13.0,5.9375,90.9090909090909,,,11.0,38.16
58134,Digvesh Rathi,True,0.5341027183145034,finishing allrounder,28.0,,77.77777777777777,32.0,7.817671809256662,1.272261963266291,-19.999999999999993,3.999999999999999,33.0,25.95
58135,Tejasvi Dahiya,False,0.4645371136306185,top/middle,547.0,,173.65079365079364,,,173.65079365079364,130.99999999999997,,20.0,23.61
58136,Raghav Singh,False,0.4148535499627806,finishing allrounder,3.0,,27.272727272727273,9.0,8.081632653061224,27.272727272727273,,,4.0,25.9
58137,Sarthak Ray,False,0.41484832220324597,opener,170.0,,118.05555555555556,,,118.05555555555556,-87.99999999999999,,8.0,
58138,Saurabh Deswal,False,0.3980302823330106,top/middle,16.0,,123.07692307692308,,,123.07692307692308,,,2.0,
58143,Anshuman Hooda,False,0.41585403002249927,finishing allrounder,5.0,,166.66666666666666,12.0,8.963855421686747,166.66666666666666,,3.999999999999999,11.0,
58144,Deepanshu Gulia,False,0.41095963526254237,finishing allrounder,5.0,,50.0,9.0,8.979591836734693,50.0,,4.999999999999998,9.0,
58149,Pranav Pant,False,0.42671078709711824,finisher,232.0,,118.97435897435898,0.0,9.157894736842104,118.97435897435898,193.99999999999994,0.0,18.0,
58151,Sujal Singh,False,0.4527606804902509,top/middle,473.0,,130.3030303030303,,,130.3030303030303,-96.99999999999997,,20.0,
58152,Raunak Waghela,False,0.4381186442888502,finishing allrounder,61.0,,110.9090909090909,20.0,7.564469914040115,110.9090909090909,,1.9999999999999996,21.0,17.97
58155,Bhagwan Singh,False,0.4258313847492545,finishing allrounder,3.0,,150.0,13.0,8.242622950819673,150.0,,-8.999999999999996,16.0,
58159,Keshav Dabas,False,0.460597292059126,finishing allrounder,277.0,,121.49122807017544,8.0,9.95,121.49122807017544,114.99999999999996,-1.9999999999999996,18.0,
58160,Shaurya Malik,False,0.4159772032178995,finishing allrounder,14.0,,140.0,11.0,8.271428571428572,140.0,,4.999999999999998,8.0,
58161,Sourav Dagar,False,0.38081276803874703,top/middle,2.0,,40.0,,,40.0,,,1.0,
58162,Aryan Rana,False,0.4220197023082045,top/middle,247.0,,149.6969696969697,,,149.6969696969697,-88.99999999999997,,12.0,
58163,Siddhant Bansal,False,0.41077615647740445,finishing allrounder,20.0,,95.23809523809524,1.0,8.307692307692308,95.23809523809524,-7.999999999999998,-0.9999999999999998,11.0,
58164,Rajneesh Dadar,False,0.4365415599183196,finishing allrounder,30.0,,69.76744186046511,33.0,7.767441860465116,69.76744186046511,,6.999999999999998,18.0,
58165,Kaushal Suman,False,0.3881148817150138,top/middle,52.0,,94.54545454545455,,,94.54545454545455,49.999999999999986,,6.0,
