player_id,player_name,career_is_capped,cap_prob_calibrated,cap_prob_calibrated_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope,career_matches_played,career_age_years
19401,Tharayil Antony Abeesh,FALSE,0.112,0.0952,finishing allrounder,48,,165.51724137931035,17,6.203883495145631,165.51724137931035,,,8,32.55
19402,Pougajendy Akash,FALSE,0.112,0.112,top/middle,464,,141.8960244648318,1,9.5,141.8960244648318,43.99999999999999,,24,22
19403,Ameer Zeeshan N,FALSE,0.48437499999999994,0.48437499999999994,top/middle,741,,120.48780487804878,4,7.5,120.48780487804878,-8.333333333,,22,28.76
19404,Bhupender Chauhan,FALSE,0.21153846153846154,0.21153846153846154,finishing allrounder,105,,92.10526315789474,15,7.359516616314199,92.10526315789474,-5.076923077,1.1538461538461542,21,31.07
19405,George Samuel A,FALSE,0.039421813,0.039421813,finisher,52,,85.24590163934427,,,85.24590163934427,,,11,
19406,Karthikeyan J,FALSE,0.38461538461538464,0.3269230769230769,top/middle,566,,134.76190476190476,0,4,134.76190476190476,-14.03846154,,23,32.26
19409,SG Singh,TRUE,1,1,finishing allrounder,506,,129.41176470588235,60,6.593785960874569,3.5464030308853403,68.97142857142855,6.514285714285713,40,26.53
1941,Devon Conway,TRUE,1,0.85,top/middle,1804,,128.125,,,2.661469752864314,-181.8,,58,34.39
19412,Mathan M,FALSE,0.112,0.112,finishing allrounder,12,,133.33333333333334,8,8.048780487804878,133.33333333333334,,,6,27.59
19414,Shri Sivagunal S,FALSE,0.058558559,0.058558559,finishing allrounder,35,,87.5,2,5.918918918918919,87.5,,,4,
19416,Vijai R,FALSE,0.15625,0.15625,finishing allrounder,12,,100,26,7.213793103448276,100,-3,-0.884615385,22,26.87
19418,Vengadeshwaran,FALSE,0.112,0.112,finishing allrounder,21,,91.30434782608695,7,7.384615384615385,91.30434782608695,,,8,29.93
19420,Alankrit Agarwal,FALSE,0.039421813,0.039421813,top/middle,112,,93.33333333333333,,,93.33333333333333,,,8,
19422,Arjun Shetty,FALSE,0.14285714285714285,0.12142857142857141,top/middle,244,,109.90990990990991,,,109.90990990990991,,,8,34.12
19428,Jasvanth S,FALSE,0.112,0.112,finishing allrounder,47,,106.81818181818181,11,6.633027523,106.81818181818181,,,9,27.98
19429,Mathavan M,FALSE,0.097765363,0.097765363,finisher,110,,123.59550561797752,,,123.59550561797752,,,8,
19430,Nipun Gaikwad,FALSE,0.058558559,0.058558559,top/middle,95,,86.36363636363636,,,86.36363636363636,,,8,
19433,Aditya Singh Chauhan,FALSE,0.058558559,0.058558559,finishing allrounder,5,,50,6,9.109090909,50,0.038461538,-0.461538462,5,22.35
19434,Pravin R,FALSE,0.039421813,0.039421813,finisher,123,,106.95652173913044,,,106.95652173913044,42.99999999999998,,20,21.75
