player_id,career_matches_played,career_batting_runs,career_batting_innings,career_bat_sr,career_bat_avg,career_bowling_wickets,career_bowling_innings,career_bow_econ,career_bow_sr,m12_matches_played,m12_batting_runs,m12_batting_innings,m12_bat_sr,m24_matches_played,m24_batting_runs,m24_batting_innings,m24_bat_sr
50196,5,7,3,43.75,,,,,,1,5,1,55.55555555555556,,,,
502,20,30,5,130.43478260869566,,21,20,8.111111111,18,19,30,5,130.43478260869566,16,24,4,184.6153846153846
50206,1,28,1,155.55555555555554,,,,,,1,28,1,155.55555555555554,,,,
50250,22,309,18,124.09638554216868,,,,,,17,229,13,144.0251572327044,9,137,5,161.1764705882353
5028,19,231,16,146.20253164556962,,6,14,7.981900452488688,36.833333333333336,9,89,8,117.10526315789474,,,,
50280,2,75,2,122.95081967213115,,1,1,6.631578947368421,19,,,,,,,,
50284,12,518,13,211.42857142857142,,,,,,,,,,,,,
50285,19,157,14,148.11320754716982,,5,10,8.35,24,10,118,10,153.24675324675326,,,,
50286,6,73,6,105.79710144927536,,,,,,,,,,,,,
50287,5,74,5,98.66666666666667,,,,,,,,,,,,,
5029,37,1057,37,142.06989247311827,,22,27,8.493333333333334,20.454545454545453,26,651,25,135.34303534303535,25,620,24,137.47228381374723
50293,1,1,1,20,,,,,,,,,,,,,
50333,3,13,2,81.25,,6,3,4.9655172413793105,9.666666666666666,,,,,,,,
5034,60,356,32,97.26775956284153,,59,60,6.9883990719257545,21.915254237288135,52,288,26,99.65397923875433,45,247,21,99.59677419354838
5039,63,1771,58,151.49700598802394,,,,,,42,1186,39,148.25,22,754,21,141.46341463414635
504,13,205,12,111.41304347826087,,6,5,4.9787234042553195,7.833333333333333,8,74,8,112.12121212121212,8,74,8,112.12121212121212
5041,70,19,11,67.85714285714286,,96,70,8.331360946745562,15.84375,51,17,9,70.83333333333333,26,14,6,107.6923076923077
505,63,1245,56,117.56373937677054,,,,,,49,1061,47,116.21029572836802,34,682,32,115.98639455782313
5050,19,508,19,109.71922246220302,,,,,,18,496,18,111.71171171171171,9,345,9,122.77580071174377
5053,18,38,7,126.66666666666667,,23,18,8.794029850746268,14.565217391304348,7,7,1,100,2,,,
50589,5,4,2,80,,5,5,6.836065573770492,24.4,,,,,,,,
506,45,833,43,114.42307692307692,,,,,,30,565,29,111.00196463654224,19,361,18,107.76119402985074
5062,1,12,1,100,,,,,,1,12,1,100,1,12,1,100
5065,2,2,2,28.571428571428573,,,,,,,,,,,,,
5066,2,40,2,97.56097561,,,,,,2,40,2,97.56097561,2,40,2,97.56097561
5068,5,16,4,114.28571428571429,,5,5,9,21.2,5,16,4,114.28571428571429,4,14,3,127.27272727272727
507,71,1291,61,116.83257918552036,,9,25,7.321585903,25.22222222222222,57,1085,53,113.73165618448637,39,798,37,111.2970711297071
5071,9,229,7,150.6578947368421,,5,6,4,12,9,229,7,150.6578947368421,9,229,7,150.6578947368421
5073,18,67,9,131.37254901960785,,18,16,9.076923076923077,17.333333333333332,11,34,6,117.24137931034483,5,23,3,153.33333333333334
51064,2,37,2,148,,,,,,,,,,,,,
51078,23,660,23,127.65957446808511,,,,,,13,308,12,110.79136690647482,,,,
51083,3,10,2,62.5,,1,3,9.636363636363637,66,3,10,2,62.5,,,,
51087,4,4,2,200,,4,4,7.5,21,4,4,2,200,,,,
51263,2,28,2,186.66666666666666,,,,,,,,,,,,,
51290,1,3,1,50,,0,1,8.666666666666666,,1,3,1,50,,,,
51293,7,208,9,124.55089820359281,,,,,,,,,,,,,
51346,15,335,15,127.3764258555133,,,,,,8,171,8,122.14285714285714,,,,
51390,9,38,7,126.66666666666667,,3,4,8.15625,21.333333333333332,1,,,,,,,
51438,2,25,4,113.63636363636364,,,,,,,,,,,,,
51699,1,24,1,120,,,,,,,,,,,,,
51707,4,26,3,173.33333333333334,,3,4,12.375,16,,,,,,,,
51864,7,87,7,131.8181818181818,,,,,,,,,,,,,
5189,43,421,32,150.89605734767025,,59,43,7.142496847,13.440677966101696,14,154,10,137.5,10,94,7,123.6842105263158
52040,5,50,5,100,,,,,,,,,,,,,
52048,7,160,7,146.78899082568807,,9,7,6.881118881118881,15.88888888888889,,,,,,,,
52050,4,77,3,124.19354838709677,,,,,,,,,,,,,
52051,6,42,6,95.45454545454545,,7,4,7.702702702702703,10.571428571428571,,,,,,,,
52054,2,0,2,0,,,,,,,,,,,,,
52056,7,107,7,116.30434782608695,,,,,,,,,,,,,
52059,6,9,2,128.57142857142858,,10,6,5.694915254237288,11.8,,,,,,,,
52060,5,9,2,90,,5,4,7.032258064516129,18.6,,,,,,,,
52064,3,1,1,100,,2,3,7.475409836065574,30.5,,,,,,,,
52070,6,74,6,101.36986301369863,,,,,,,,,,,,,
52071,3,3,2,50,,,,,,,,,,,,,
52072,9,228,9,134.9112426035503,,,,,,,,,,,,,
52073,1,0,1,0,,,,,,,,,,,,,
52074,5,14,3,51.851851851851855,,4,4,7.573770491803279,15.25,,,,,,,,
52075,6,174,6,122.53521126760563,,,,,,,,,,,,,
52076,3,4,3,28.571428571428573,,,,,,,,,,,,,
52086,6,72,5,92.30769231,,,,,,,,,,,,,
52089,2,4,1,66.66666666666667,,,,,,,,,,,,,
52091,5,77,5,91.66666666666667,,,,,,,,,,,,,
52095,4,19,3,86.36363636363636,,,,,,,,,,,,,
52099,7,140,7,113.82113821138212,,,,,,,,,,,,,
52101,2,46,2,124.32432432432432,,,,,,,,,,,,,
52102,7,1,1,50,,6,7,6.425806451612903,25.833333333333332,,,,,,,,
52104,5,5,1,100,,7,5,8.096385542168674,11.857142857142858,,,,,,,,
52107,1,2,1,16.666666666666668,,,,,,,,,,,,,
52109,7,4,3,28.571428571428573,,6,7,8.464285714285714,18.666666666666668,,,,,,,,
52112,2,14,2,93.33333333333333,,1,2,10.846153846153847,26,,,,,,,,
52114,6,65,6,104.83870967741936,,1,4,7.659574468085107,47,,,,,,,,
52115,1,1,1,50,,,,,,,,,,,,,
52117,1,0,1,0,,,,,,,,,,,,,
52119,1,14,1,66.66666666666667,,,,,,,,,,,,,
52121,9,137,7,109.6,,,,,,5,69,4,102.98507462686567,,,,
52124,1,4,1,23.529411764705884,,,,,,,,,,,,,
52128,10,268,10,117.03056768558952,,,,,,,,,,,,,
52152,15,33,5,106.45161290322581,,18,15,9.296052631578947,16.88888888888889,6,3,2,100,,,,
52346,2,1,1,25,,,,,,,,,,,,,
52347,9,84,7,80.76923076923077,,,,,,,,,,,,,
52348,12,116,9,92.06349206349206,,0,2,9.857142857142858,,,,,,,,,
52358,5,0,3,0,,1,4,7.522388059701493,67,,,,,,,,
52359,5,13,1,37.142857142857146,,,,,,,,,,,,,
52362,9,66,8,73.33333333333333,,,,,,,,,,,,,
