player_id,player_name,career_is_capped,cap_prob_gb,cap_prob_gb_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,career_matches_played,career_age_years,venue_fit_score,runs_slope,wk_slope
43305,Gurman Singh Dhillon,False,0.005318965119320184,0.005318965119320184,finishing allrounder,20.0,,142.85714285714286,0.0,9.483870967741936,3.0,21.58,142.85714285714286,,
43308,Prashant Chauhan,True,0.9996508257646374,0.9996508257646374,finishing allrounder,74.0,,105.71428571428571,17.0,8.496503496503497,18.0,24.89,1.7992898967288409,2.5,2.9999999999999982
43309,Harjeet Singh,True,0.9983291576299628,0.9983291576299628,finishing allrounder,11.0,,220.0,14.0,7.433447098976109,14.0,28.98,220.0,,-0.9999999999999992
43310,Vishal Rawat,False,0.0015937983796222976,0.0015937983796222976,finisher,2.0,,66.66666666666667,,,1.0,24.47,66.66666666666667,,
43311,Prashant Bhati,True,0.9997679446178,0.9997679446178,finishing allrounder,110.0,,215.68627450980392,15.0,7.760683760683761,16.0,26.11,64.04484728422541,-10.499999999999993,0.9999999999999998
43312,Shiva Soni,True,0.9997370612468307,0.9997370612468307,finishing allrounder,17.0,,154.54545454545453,6.0,7.862068965517241,7.0,26.91,1.6345055565958637,-1.4999999999999998,-1.9999999999999996
43314,Harsh Rana,True,0.9958122736290049,0.9958122736290049,finishing allrounder,108.0,,111.34020618556701,4.0,7.6415094339622645,15.0,21.47,2.1401409964051363,15.999999999999993,1.9999999999999996
43316,Yashvardhan,False,0.006304926679472853,0.006304926679472853,finisher,15.0,,150.0,,,2.0,22.32,150.0,,
43318,Sunny Kashyap,True,0.9997211666058722,0.9997211666058722,finishing allrounder,111.0,,168.1818181818182,12.0,7.605633802816901,15.0,26.96,3.857811604320056,-21.999999999999996,-2.9999999999999996
43319,Aditya Sethi,True,0.9988686118526447,0.9988686118526447,finishing allrounder,82.0,,132.25806451612902,12.0,7.492957746478873,11.0,28.29,132.25806451612902,-29.99999999999999,-9.999999999999996
43320,Sameer Rai,False,3.246703203180265e-05,3.246703203180265e-05,opener,28.0,,93.33333333333333,,,2.0,24.14,93.33333333333333,,
43321,Nitish Joshi,False,0.0011975244167499598,0.0011975244167499598,finishing allrounder,72.0,,138.46153846153845,1.0,9.0,5.0,28.56,138.46153846153845,,
43322,Rohit Danu,True,0.9869347470226683,0.9869347470226683,top/middle,213.0,,130.67484662576686,,,10.0,24.55,14.101582114130698,-1.4999999999999998,
43323,Mohd Asim,False,0.07953400912667052,0.07953400912667052,finishing allrounder,0.0,,0.0,10.0,8.080645161290322,5.0,28.56,0.0,,
43324,Shubham Bisht,False,7.777135461744904e-07,7.777135461744904e-07,finisher,41.0,,85.41666666666667,0.0,10.0,3.0,22.68,85.41666666666667,,
43325,Abhishekh Raturi,False,0.0008168119790354217,0.0008168119790354217,top/middle,13.0,,86.66666666666667,,,2.0,23.02,86.66666666666667,,
43327,Abhishekh Gusain,False,0.0044063714301234395,0.0044063714301234395,top/middle,10.0,,71.42857142857143,,,1.0,29.11,71.42857142857143,,
43328,Jeevan S Mehta,False,0.004183439805002224,0.004183439805002224,finisher,15.0,,88.23529411764706,,,2.0,27.41,88.23529411764706,,
43329,Anmol Shah,True,0.9515873779812682,0.9515873779812682,finishing allrounder,40.0,,72.72727272727273,15.0,7.072243346007604,15.0,22.75,2.687534881781005,8.499999999999996,1.5
43330,Vishal Kashyap,True,0.999655031802299,0.999655031802299,top/middle,497.0,,144.47674418604652,0.0,11.0,16.0,25.26,4.4655146492635245,33.49999999999999,
43332,Abhinav Bisht,False,0.0018174128162012477,0.0018174128162012477,finisher,17.0,,94.44444444444444,,,3.0,28.05,94.44444444444444,,
43333,Pradeep Devli,False,0.002687994139232529,0.002687994139232529,finisher,17.0,,89.47368421052632,,,2.0,23.98,89.47368421052632,,
43334,Rohit Tomar,False,0.002038251948980277,0.002038251948980277,finisher,31.0,,163.1578947368421,,,3.0,26.21,163.1578947368421,,
